curso_id,bloque,tamano,carrera,anio,grupo,tipo_curso
i1,1,45,C1,1,C1_1,catedra
i2,1,46,C2,1,C2_1,laboratorio
i3,1,37,C3,1,C3_1,catedra
i4,1,26,C4,1,C4_1,laboratorio
i5,1,49,C1,2,C1_2,catedra
i6,1,23,C2,2,C2_2,catedra
i7,1,26,C3,2,C3_2,laboratorio
i8,1,26,C4,2,C4_2,laboratorio
i9,1,20,C1,3,C1_3,catedra
i10,1,37,C2,3,C2_3,catedra
i11,1,25,C3,3,C3_3,laboratorio
i12,1,31,C4,3,C4_3,laboratorio
i13,1,50,C1,1,C1_1,laboratorio
i14,1,52,C2,1,C2_1,laboratorio
i15,1,38,C3,1,C3_1,catedra
i16,1,36,C4,1,C4_1,laboratorio
i17,1,51,C1,2,C1_2,catedra
i18,1,53,C2,2,C2_2,catedra
