curso_b1,curso_b2,flujo
i1,k1,13
i1,k2,1
i1,k5,1
i1,k9,6
i1,k12,1
i1,k13,11
i1,k14,1
i1,k17,2
i2,k2,9
i2,k4,2
i2,k6,2
i2,k10,3
i2,k14,6
i2,k18,1
i3,k3,12
i3,k7,9
i3,k8,1
i3,k9,1
i3,k10,1
i3,k11,6
i3,k13,1
i3,k15,14
i3,k16,1
i3,k17,2
i4,k1,1
i4,k4,22
i4,k6,2
i4,k7,1
i4,k8,3
i4,k12,6
i4,k14,1
i4,k15,1
i4,k16,15
i4,k17,1
i5,k1,3
i5,k2,1
i5,k5,9
i5,k9,1
i5,k13,2
i5,k16,1
i5,k17,9
i6,k2,2
i6,k6,11
i6,k10,2
i6,k14,1
i6,k18,12
i7,k3,1
i7,k4,1
i7,k7,25
i7,k10,1
i7,k11,4
i7,k12,3
i7,k13,1
i7,k14,1
i7,k15,7
i7,k16,1
i7,k17,1
i8,k1,1
i8,k2,1
i8,k4,7
i8,k5,1
i8,k6,2
i8,k7,2
i8,k8,15
i8,k10,2
i8,k12,5
i8,k16,2
i9,k1,2
i9,k8,1
i9,k9,10
i9,k11,1
i9,k12,1
i9,k13,1
i9,k17,4
i9,k18,1
i10,k2,2
i10,k5,1
i10,k6,2
i10,k8,3
i10,k10,10
i10,k13,2
i10,k14,3
i10,k18,5
i11,k3,5
i11,k4,1
i11,k6,2
i11,k7,3
i11,k9,1
i11,k11,12
i11,k13,1
i11,k15,7
i11,k18,2
i12,k1,2
i12,k3,1
i12,k4,6
i12,k6,1
i12,k7,2
i12,k8,4
i12,k9,1
i12,k11,1
i12,k12,16
i12,k13,1
i12,k16,6
i12,k18,1
i13,k1,15
i13,k5,4
i13,k7,1
i13,k8,1
i13,k9,6
i13,k13,18
i13,k14,1
i13,k17,2
i14,k1,1
i14,k2,6
i14,k6,2
i14,k10,2
i14,k11,1
i14,k14,7
i14,k18,1
i15,k2,1
i15,k3,15
i15,k4,1
i15,k5,2
i15,k7,2
i15,k9,1
i15,k10,1
i15,k11,4
i15,k13,2
i15,k15,8
i15,k16,2
i15,k17,1
i15,k18,1
i16,k1,1
i16,k3,1
i16,k4,9
i16,k5,4
i16,k8,1
i16,k10,1
i16,k12,4
i16,k15,1
i16,k16,7
i16,k17,2
i16,k18,1
i17,k1,1
i17,k4,1
i17,k5,4
i17,k9,5
i17,k10,1
i17,k13,1
i17,k14,1
i17,k15,1
i17,k16,1
i17,k17,10
i18,k2,1
i18,k4,1
i18,k6,9
i18,k10,2
i18,k14,3
i18,k17,1
i18,k18,8
