curso_id,bloque,tamano,carrera,anio,grupo,tipo_curso
k1,2,45,C1,1,C1_1,laboratorio
k2,2,24,C2,1,C2_1,laboratorio
k3,2,35,C3,1,C3_1,catedra
k4,2,52,C4,1,C4_1,laboratorio
k5,2,26,C1,2,C1_2,catedra
k6,2,33,C2,2,C2_2,laboratorio
k7,2,48,C3,2,C3_2,laboratorio
k8,2,30,C4,2,C4_2,catedra
k9,2,33,C1,3,C1_3,catedra
k10,2,26,C2,3,C2_3,catedra
k11,2,31,C3,3,C3_3,laboratorio
k12,2,36,C4,3,C4_3,catedra
k13,2,41,C1,1,C1_1,laboratorio
k14,2,25,C2,1,C2_1,laboratorio
k15,2,45,C3,1,C3_1,catedra
k16,2,36,C4,1,C4_1,catedra
k17,2,35,C1,2,C1_2,catedra
k18,2,36,C2,2,C2_2,catedra
