sala_id,edificio,piso,capacidad,tipo_sala,coord_x,coord_y,coord_z
r1,E1,1,40,auditorio,5.0,5.0,4.0
r2,E2,1,80,laboratorio,75.0,5.0,4.0
r3,E3,1,80,catedra,145.0,5.0,4.0
r4,E4,1,45,catedra,5.0,75.0,4.0
r5,E1,1,50,catedra,13.0,5.0,4.0
r6,E2,1,35,auditorio,83.0,5.0,4.0
r7,E3,1,80,laboratorio,153.0,5.0,4.0
r8,E4,1,80,laboratorio,13.0,75.0,4.0
r9,E1,1,35,auditorio,5.0,13.0,4.0
r10,E2,1,60,auditorio,75.0,13.0,4.0
r11,E3,1,80,catedra,145.0,13.0,4.0
r12,E4,1,45,catedra,5.0,83.0,4.0
r13,E1,2,40,auditorio,5.0,5.0,8.0
r14,E2,2,60,auditorio,75.0,5.0,8.0
r15,E3,2,45,catedra,145.0,5.0,8.0
r16,E4,2,35,auditorio,5.0,75.0,8.0
r17,E1,2,40,laboratorio,13.0,5.0,8.0
r18,E2,2,45,catedra,83.0,5.0,8.0
r19,E3,2,35,auditorio,153.0,5.0,8.0
r20,E4,2,45,auditorio,13.0,75.0,8.0
r21,E1,2,45,auditorio,5.0,13.0,8.0
r22,E2,2,45,catedra,75.0,13.0,8.0
r23,E3,2,40,auditorio,145.0,13.0,8.0
r24,E4,2,45,auditorio,5.0,83.0,8.0
r25,E1,3,40,catedra,5.0,5.0,12.0
r26,E2,3,80,laboratorio,75.0,5.0,12.0
r27,E3,3,80,catedra,145.0,5.0,12.0
r28,E4,3,60,auditorio,5.0,75.0,12.0
r29,E1,3,50,catedra,13.0,5.0,12.0
r30,E2,3,50,laboratorio,83.0,5.0,12.0
