curso_b1,curso_b2,flujo
i1,k1,14
i1,k2,1
i1,k4,1
i1,k5,3
i1,k8,2
i1,k9,2
i1,k10,2
i1,k13,22
i1,k15,2
i1,k17,4
i2,k2,5
i2,k5,1
i2,k6,1
i2,k8,1
i2,k10,3
i2,k11,1
i2,k14,5
i2,k18,4
i3,k1,1
i3,k2,1
i3,k3,11
i3,k7,2
i3,k11,1
i3,k14,2
i3,k15,12
i4,k4,14
i4,k5,2
i4,k8,3
i4,k9,1
i4,k12,3
i4,k13,2
i4,k14,1
i4,k16,15
i4,k18,1
i5,k1,2
i5,k5,13
i5,k9,2
i5,k10,1
i5,k12,1
i5,k13,5
i5,k17,6
i6,k1,1
i6,k2,7
i6,k3,1
i6,k6,9
i6,k10,4
i6,k14,6
i6,k15,1
i6,k16,1
i6,k17,1
i6,k18,16
i7,k1,1
i7,k3,6
i7,k6,2
i7,k7,21
i7,k8,1
i7,k9,1
i7,k10,1
i7,k11,2
i7,k12,3
i7,k13,2
i7,k15,6
i7,k18,1
i8,k3,1
i8,k4,5
i8,k6,1
i8,k7,3
i8,k8,25
i8,k10,2
i8,k12,4
i8,k13,1
i8,k16,7
i8,k17,1
i8,k18,1
i9,k1,4
i9,k3,1
i9,k4,1
i9,k5,2
i9,k9,13
i9,k10,1
i9,k13,3
i9,k15,1
i9,k17,8
i9,k18,1
i10,k1,1
i10,k2,1
i10,k6,3
i10,k10,11
i10,k16,1
i10,k18,2
i11,k3,3
i11,k5,2
i11,k7,4
i11,k8,1
i11,k9,1
i11,k11,13
i11,k15,3
i11,k17,1
i11,k18,1
i12,k3,1
i12,k4,1
i12,k8,4
i12,k10,1
i12,k11,2
i12,k12,12
i12,k14,1
i12,k15,1
i12,k16,5
i13,k1,13
i13,k2,1
i13,k5,1
i13,k6,1
i13,k9,2
i13,k13,9
i13,k14,1
i13,k17,1
i14,k2,11
i14,k6,3
i14,k8,2
i14,k10,1
i14,k11,1
i14,k13,1
i14,k14,11
i14,k18,6
i15,k3,9
i15,k6,1
i15,k10,1
i15,k11,1
i15,k15,7
i16,k1,2
i16,k2,1
i16,k4,15
i16,k5,1
i16,k8,2
i16,k9,1
i16,k15,1
i16,k16,15
i16,k18,1
i17,k1,3
i17,k2,1
i17,k5,13
i17,k9,3
i17,k12,1
i17,k13,3
i17,k15,1
i17,k17,14
i17,k18,1
i18,k1,1
i18,k2,2
i18,k5,1
i18,k6,9
i18,k7,2
i18,k8,1
i18,k10,4
i18,k13,2
i18,k14,3
i18,k15,1
i18,k18,18
