curso_id,bloque,tamano,carrera,anio,grupo,tipo_curso
k1,2,46,C1,1,C1_1,laboratorio
k2,2,31,C2,1,C2_1,laboratorio
k3,2,36,C3,1,C3_1,laboratorio
k4,2,38,C4,1,C4_1,catedra
k5,2,39,C1,2,C1_2,laboratorio
k6,2,30,C2,2,C2_2,laboratorio
k7,2,34,C3,2,C3_2,catedra
k8,2,45,C4,2,C4_2,catedra
k9,2,27,C1,3,C1_3,laboratorio
k10,2,33,C2,3,C2_3,catedra
k11,2,22,C3,3,C3_3,catedra
k12,2,26,C4,3,C4_3,laboratorio
k13,2,55,C1,1,C1_1,catedra
k14,2,35,C2,1,C2_1,catedra
k15,2,36,C3,1,C3_1,laboratorio
k16,2,45,C4,1,C4_1,laboratorio
k17,2,38,C1,2,C1_2,laboratorio
k18,2,54,C2,2,C2_2,laboratorio
