curso_id,bloque,tamano,carrera,anio,grupo,tipo_curso
i1,1,54,C1,1,C1_1,catedra
i2,1,22,C2,1,C2_1,catedra
i3,1,32,C3,1,C3_1,laboratorio
i4,1,44,C4,1,C4_1,catedra
i5,1,30,C1,2,C1_2,catedra
i6,1,52,C2,2,C2_2,laboratorio
i7,1,51,C3,2,C3_2,catedra
i8,1,54,C4,2,C4_2,laboratorio
i9,1,43,C1,3,C1_3,laboratorio
i10,1,20,C2,3,C2_3,laboratorio
i11,1,29,C3,3,C3_3,laboratorio
i12,1,31,C4,3,C4_3,catedra
i13,1,32,C1,1,C1_1,laboratorio
i14,1,44,C2,1,C2_1,catedra
i15,1,20,C3,1,C3_1,catedra
i16,1,44,C4,1,C4_1,laboratorio
i17,1,45,C1,2,C1_2,catedra
i18,1,48,C2,2,C2_2,catedra
