curso_b1,curso_b2,flujo
i1,k1,12
i1,k4,1
i1,k6,1
i1,k7,2
i1,k10,6
i2,k2,10
i2,k4,1
i2,k5,2
i2,k6,1
i2,k7,1
i2,k8,8
i2,k10,1
i2,k11,13
i3,k2,1
i3,k3,10
i3,k4,1
i3,k6,1
i3,k8,2
i3,k9,6
i3,k10,1
i3,k11,1
i3,k12,14
i4,k1,5
i4,k2,2
i4,k4,18
i4,k6,2
i4,k7,8
i4,k8,3
i4,k10,2
i4,k11,1
i4,k12,1
i5,k2,9
i5,k3,1
i5,k5,22
i5,k7,1
i5,k8,8
i5,k9,1
i5,k11,7
i5,k12,1
i6,k3,9
i6,k4,1
i6,k6,12
i6,k9,5
i6,k12,5
i7,k1,1
i7,k2,2
i7,k4,6
i7,k5,1
i7,k7,19
i7,k9,1
i7,k10,5
i8,k2,3
i8,k3,1
i8,k5,3
i8,k7,1
i8,k8,21
i8,k10,2
i8,k11,1
i9,k2,2
i9,k3,8
i9,k4,3
i9,k6,4
i9,k8,1
i9,k9,16
i9,k12,5
i10,k1,9
i10,k3,1
i10,k4,2
i10,k9,1
i10,k10,7
i11,k1,1
i11,k2,13
i11,k5,2
i11,k7,1
i11,k8,2
i11,k11,12
i12,k3,8
i12,k8,1
i12,k10,1
i12,k12,6
