curso_b1,curso_b2,flujo
i1,k1,11
i1,k2,2
i1,k4,1
i1,k5,1
i1,k6,2
i1,k9,2
i1,k12,1
i1,k13,9
i1,k16,1
i1,k17,7
i2,k1,1
i2,k2,14
i2,k6,2
i2,k9,1
i2,k10,9
i2,k12,1
i2,k13,1
i2,k14,14
i2,k15,1
i2,k17,1
i2,k18,2
i3,k1,1
i3,k3,6
i3,k6,1
i3,k7,2
i3,k11,4
i3,k15,15
i3,k19,2
i4,k4,16
i4,k8,1
i4,k9,1
i4,k12,1
i4,k13,1
i4,k15,1
i4,k16,8
i4,k17,1
i4,k18,1
i4,k20,2
i5,k2,2
i5,k5,9
i5,k9,3
i5,k10,1
i5,k13,1
i5,k17,11
i5,k18,1
i5,k20,1
i6,k1,1
i6,k2,5
i6,k6,12
i6,k9,1
i6,k10,2
i6,k14,3
i6,k15,2
i6,k16,1
i6,k18,12
i6,k19,2
i6,k20,1
i7,k7,6
i7,k11,1
i7,k13,1
i7,k14,1
i7,k15,2
i7,k18,1
i7,k19,5
i8,k4,4
i8,k5,1
i8,k7,1
i8,k8,10
i8,k9,1
i8,k12,2
i8,k15,1
i8,k16,4
i8,k18,1
i8,k20,15
i9,k1,2
i9,k2,1
i9,k3,2
i9,k4,1
i9,k7,1
i9,k9,5
i9,k11,1
i9,k13,3
i9,k16,1
i9,k17,4
i9,k18,2
i10,k2,9
i10,k3,2
i10,k5,2
i10,k6,2
i10,k9,2
i10,k10,17
i10,k14,5
i10,k17,1
i10,k18,2
i10,k19,2
i11,k3,4
i11,k4,2
i11,k6,1
i11,k7,5
i11,k10,1
i11,k11,17
i11,k12,1
i11,k15,2
i11,k16,1
i11,k17,1
i11,k19,2
i11,k20,2
i12,k4,4
i12,k5,1
i12,k6,1
i12,k8,7
i12,k12,12
i12,k16,7
i12,k20,1
i13,k1,9
i13,k2,1
i13,k3,2
i13,k6,1
i13,k9,4
i13,k10,2
i13,k13,5
i13,k15,1
i13,k16,1
i13,k17,4
i14,k1,1
i14,k2,13
i14,k5,1
i14,k6,1
i14,k7,1
i14,k10,3
i14,k13,1
i14,k14,15
i14,k15,2
i14,k18,4
i15,k1,1
i15,k3,10
i15,k7,1
i15,k11,3
i15,k15,8
i15,k17,2
i15,k19,1
i16,k2,2
i16,k4,11
i16,k5,2
i16,k8,1
i16,k12,2
i16,k16,12
i16,k20,2
i17,k1,2
i17,k5,5
i17,k6,1
i17,k9,3
i17,k13,3
i17,k17,10
i18,k2,1
i18,k6,4
i18,k7,1
i18,k10,2
i18,k11,2
i18,k13,1
i18,k18,9
i19,k3,3
i19,k7,14
i19,k9,2
i19,k10,2
i19,k11,1
i19,k13,3
i19,k15,3
i19,k16,3
i19,k17,1
i19,k19,17
i19,k20,1
i20,k3,2
i20,k4,1
i20,k6,3
i20,k7,1
i20,k8,13
i20,k12,6
i20,k13,2
i20,k15,1
i20,k16,3
i20,k19,1
i20,k20,6
