curso_id,bloque,tamano,carrera,anio,grupo,tipo_curso
i1,1,39,C1,1,C1_1,catedra
i2,1,55,C2,1,C2_1,catedra
i3,1,37,C3,1,C3_1,laboratorio
i4,1,35,C4,1,C4_1,catedra
i5,1,32,C1,2,C1_2,catedra
i6,1,44,C2,2,C2_2,catedra
i7,1,21,C3,2,C3_2,catedra
i8,1,43,C4,2,C4_2,catedra
i9,1,26,C1,3,C1_3,catedra
i10,1,52,C2,3,C2_3,catedra
i11,1,41,C3,3,C3_3,laboratorio
i12,1,35,C4,3,C4_3,catedra
i13,1,31,C1,1,C1_1,catedra
i14,1,50,C2,1,C2_1,catedra
i15,1,32,C3,1,C3_1,laboratorio
i16,1,32,C4,1,C4_1,catedra
i17,1,30,C1,2,C1_2,catedra
i18,1,20,C2,2,C2_2,laboratorio
i19,1,52,C3,2,C3_2,catedra
i20,1,42,C4,2,C4_2,laboratorio
