curso_id,bloque,tamano,carrera,anio,grupo,tipo_curso
k1,2,29,C1,1,C1_1,catedra
k2,2,51,C2,1,C2_1,laboratorio
k3,2,33,C3,1,C3_1,laboratorio
k4,2,41,C4,1,C4_1,laboratorio
k5,2,23,C1,2,C1_2,catedra
k6,2,32,C2,2,C2_2,catedra
k7,2,38,C3,2,C3_2,laboratorio
k8,2,32,C4,2,C4_2,catedra
k9,2,26,C1,3,C1_3,laboratorio
k10,2,42,C2,3,C2_3,catedra
k11,2,29,C3,3,C3_3,laboratorio
k12,2,28,C4,3,C4_3,laboratorio
k13,2,31,C1,1,C1_1,catedra
k14,2,39,C2,1,C2_1,laboratorio
k15,2,42,C3,1,C3_1,laboratorio
k16,2,48,C4,1,C4_1,laboratorio
k17,2,43,C1,2,C1_2,catedra
k18,2,41,C2,2,C2_2,catedra
k19,2,36,C3,2,C3_2,laboratorio
k20,2,33,C4,2,C4_2,catedra
