curso_id,bloque,tamano,carrera,anio,grupo,tipo_curso
k1,2,42,C1,1,C1_1,catedra
k2,2,38,C2,1,C2_1,catedra
k3,2,50,C3,1,C3_1,catedra
k4,2,22,C4,1,C4_1,catedra
k5,2,33,C5,1,C5_1,catedra
k6,2,46,C1,2,C1_2,catedra
k7,2,38,C2,2,C2_2,laboratorio
k8,2,42,C3,2,C3_2,laboratorio
k9,2,35,C4,2,C4_2,catedra
k10,2,24,C5,2,C5_2,laboratorio
k11,2,23,C1,3,C1_3,catedra
k12,2,26,C2,3,C2_3,laboratorio
k13,2,26,C3,3,C3_3,catedra
k14,2,31,C4,3,C4_3,catedra
k15,2,39,C5,3,C5_3,catedra
k16,2,36,C1,1,C1_1,laboratorio
k17,2,32,C2,1,C2_1,laboratorio
k18,2,43,C3,1,C3_1,laboratorio
k19,2,45,C4,1,C4_1,laboratorio
k20,2,27,C5,1,C5_1,catedra
k21,2,42,C1,2,C1_2,laboratorio
k22,2,30,C2,2,C2_2,laboratorio
k23,2,38,C3,2,C3_2,catedra
k24,2,30,C4,2,C4_2,laboratorio
