curso_id,bloque,tamano,carrera,anio,grupo,tipo_curso
i1,1,51,C1,1,C1_1,laboratorio
i2,1,21,C2,1,C2_1,laboratorio
i3,1,42,C3,1,C3_1,catedra
i4,1,44,C4,1,C4_1,catedra
i5,1,23,C5,1,C5_1,laboratorio
i6,1,45,C1,2,C1_2,laboratorio
i7,1,34,C2,2,C2_2,laboratorio
i8,1,38,C3,2,C3_2,laboratorio
i9,1,55,C4,2,C4_2,catedra
i10,1,30,C5,2,C5_2,catedra
i11,1,24,C1,3,C1_3,laboratorio
i12,1,25,C2,3,C2_3,catedra
i13,1,32,C3,3,C3_3,laboratorio
i14,1,20,C4,3,C4_3,laboratorio
i15,1,41,C5,3,C5_3,catedra
i16,1,42,C1,1,C1_1,catedra
i17,1,37,C2,1,C2_1,catedra
i18,1,45,C3,1,C3_1,catedra
i19,1,26,C4,1,C4_1,catedra
i20,1,37,C5,1,C5_1,laboratorio
i21,1,43,C1,2,C1_2,catedra
i22,1,26,C2,2,C2_2,catedra
i23,1,46,C3,2,C3_2,catedra
i24,1,51,C4,2,C4_2,laboratorio
