curso_id,bloque,tamano,carrera,anio,grupo,tipo_curso
i1,1,26,C1,1,C1_1,laboratorio
i2,1,42,C2,1,C2_1,laboratorio
i3,1,40,C3,1,C3_1,laboratorio
i4,1,49,C4,1,C4_1,catedra
i5,1,44,C1,2,C1_2,catedra
i6,1,40,C2,2,C2_2,laboratorio
i7,1,22,C3,2,C3_2,laboratorio
i8,1,24,C4,2,C4_2,laboratorio
i9,1,32,C1,3,C1_3,catedra
i10,1,33,C2,3,C2_3,laboratorio
i11,1,51,C3,3,C3_3,laboratorio
i12,1,34,C4,3,C4_3,laboratorio
i13,1,55,C1,1,C1_1,catedra
i14,1,37,C2,1,C2_1,laboratorio
i15,1,28,C3,1,C3_1,catedra
i16,1,42,C4,1,C4_1,laboratorio
i17,1,42,C1,2,C1_2,catedra
i18,1,31,C2,2,C2_2,catedra
