curso_id,bloque,tamano,carrera,anio,grupo,tipo_curso
i1,1,40,C1,1,C1_1,laboratorio
i2,1,25,C2,1,C2_1,catedra
i3,1,39,C3,1,C3_1,laboratorio
i4,1,54,C4,1,C4_1,laboratorio
i5,1,29,C1,2,C1_2,laboratorio
i6,1,44,C2,2,C2_2,catedra
i7,1,31,C3,2,C3_2,laboratorio
i8,1,49,C4,2,C4_2,catedra
i9,1,30,C1,3,C1_3,laboratorio
i10,1,43,C2,3,C2_3,laboratorio
i11,1,37,C3,3,C3_3,catedra
i12,1,48,C4,3,C4_3,catedra
i13,1,31,C1,1,C1_1,laboratorio
i14,1,30,C2,1,C2_1,catedra
i15,1,34,C3,1,C3_1,laboratorio
i16,1,55,C4,1,C4_1,laboratorio
