curso_b1,curso_b2,flujo
i1,k1,8
i1,k5,4
i1,k6,2
i1,k8,1
i1,k9,4
i1,k12,3
i1,k13,10
i1,k14,1
i1,k15,3
i1,k16,1
i2,k2,9
i2,k6,1
i2,k10,1
i2,k11,1
i2,k14,9
i2,k15,1
i3,k1,1
i3,k3,8
i3,k6,1
i3,k7,4
i3,k9,1
i3,k10,1
i3,k11,1
i3,k12,2
i3,k14,1
i3,k15,14
i4,k3,1
i4,k4,21
i4,k5,1
i4,k8,4
i4,k11,1
i4,k12,3
i4,k16,20
i5,k3,2
i5,k5,14
i5,k8,1
i5,k9,2
i5,k10,2
i5,k12,1
i5,k13,5
i6,k2,6
i6,k3,1
i6,k4,1
i6,k6,16
i6,k7,2
i6,k8,1
i6,k10,7
i6,k14,6
i6,k15,2
i6,k16,1
i7,k2,1
i7,k3,1
i7,k4,1
i7,k7,16
i7,k11,2
i7,k13,2
i7,k15,5
i7,k16,1
i8,k1,1
i8,k3,1
i8,k4,7
i8,k5,1
i8,k6,1
i8,k8,23
i8,k9,1
i8,k12,5
i8,k13,1
i8,k15,1
i8,k16,2
i9,k1,5
i9,k5,1
i9,k6,3
i9,k9,13
i9,k13,2
i9,k14,1
i10,k1,1
i10,k2,5
i10,k5,1
i10,k6,3
i10,k7,1
i10,k8,1
i10,k10,18
i10,k12,1
i10,k14,3
i10,k15,2
i10,k16,2
i11,k2,2
i11,k3,4
i11,k7,3
i11,k9,1
i11,k10,1
i11,k11,19
i11,k13,1
i11,k15,4
i12,k3,1
i12,k4,9
i12,k5,3
i12,k6,1
i12,k7,1
i12,k8,6
i12,k11,3
i12,k12,20
i12,k14,1
i12,k16,2
i13,k1,9
i13,k4,2
i13,k5,2
i13,k6,1
i13,k7,1
i13,k9,1
i13,k10,1
i13,k11,1
i13,k12,1
i13,k13,8
i14,k2,6
i14,k3,1
i14,k4,1
i14,k6,1
i14,k7,1
i14,k10,3
i14,k12,1
i14,k14,9
i14,k15,1
i14,k16,1
i15,k3,15
i15,k7,5
i15,k8,1
i15,k10,1
i15,k11,2
i15,k15,8
i15,k16,1
i16,k1,2
i16,k2,1
i16,k4,13
i16,k5,1
i16,k6,1
i16,k7,2
i16,k8,4
i16,k9,1
i16,k12,3
i16,k14,1
i16,k15,1
i16,k16,15
